© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1953 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;F.D.P.;CSU;GB/BHE;BP;DP;DRP;Zentrum;GVP;KPD;DNS;SSW
06;208;Offenbach;98571;89320;5223;84097;32278;33794;7677;0;3108;0;2119;0;0;1003;4118;0;0
06;209;Fulda, Stadt;29863;27541;733;26808;16668;4359;2884;0;1809;0;241;0;0;701;146;0;0
06;210;Kassel, Stadt;126601;113952;4295;109657;31465;42219;26270;0;2772;0;2714;0;0;1129;3088;0;0
06;211;Marburg a.d. Lahn, Stadt;25783;22353;617;21736;7726;5477;5925;0;811;0;793;0;0;711;293;0;0
06;212;Eschwege;47608;42650;1502;41148;9664;15210;11078;0;3761;0;505;0;0;290;640;0;0
06;213;Frankenberg;33375;28341;1121;27220;8622;6196;8445;0;2814;0;507;0;0;445;191;0;0
06;214;Fritzlar-Homberg;54712;48622;1967;46655;8671;18747;13515;0;3773;0;1006;0;0;331;612;0;0
06;215;Fulda;61440;56968;1725;55243;38194;6910;3632;0;5044;0;330;0;0;741;392;0;0
06;216;Hersfeld;49350;43630;1689;41941;8625;17910;10458;0;1423;0;2809;0;0;371;345;0;0
06;217;Hofgeismar;43172;39460;1587;37873;7682;14187;10434;0;4322;0;533;0;0;171;544;0;0
06;218;Hünfeld;23783;21922;606;21316;13855;2629;2150;0;1976;0;430;0;0;233;43;0;0
06;219;Kassel;47667;44436;2243;42193;7335;23322;7769;0;1172;0;668;0;0;187;1740;0;0
06;220;Marburg;61600;53662;1978;51684;15392;15709;14573;0;3591;0;1141;0;0;827;451;0;0
06;221;Melsungen;32872;29557;1217;28340;4988;11409;7589;0;2923;0;718;0;0;188;525;0;0
06;222;Rotenburg;39801;35863;1506;34357;10590;12368;8312;0;1327;0;1238;0;0;187;335;0;0
06;223;Waldeck;61697;52399;1505;50894;16200;12379;15077;0;4912;0;1448;0;0;354;524;0;0
06;224;Witzenhausen;37080;33269;1261;32008;8515;13126;6367;0;2877;0;435;0;0;147;541;0;0
06;225;Wolfhagen;25691;22890;992;21898;5099;7662;5422;0;2042;0;1175;0;0;85;413;0;0
06;226;Ziegenhain;37795;33256;1136;32120;5714;10340;9402;0;4169;0;1947;0;0;368;180;0;0
06;227;Frankfurt am Main, Stadt;452404;364709;14840;349869;134361;123598;51250;0;10188;0;14517;0;0;6801;9154;0;0
06;228;Hanau, Stadt;26295;22888;1044;21844;6677;7141;3649;0;875;0;504;0;0;1148;1850;0;0
06;229;Wiesbaden, Landeshauptstadt;169884;139544;7047;132497;43560;39672;37544;0;5501;0;1924;0;0;1345;2951;0;0
