© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1961 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;GDP;DFU;DRP;DG;SSW
06;201;Büdingen;56898;48469;2923;45546;21910;12323;0;7623;2649;639;402;0;0
06;202;Darmstadt;66771;58729;3246;55483;27675;16516;0;7128;1970;1706;488;0;0
06;203;Dieburg;66662;59848;3139;56709;24968;21859;0;5417;2214;1783;468;0;0
06;204;Erbach;46125;39419;2316;37103;18433;10941;0;5398;1116;693;522;0;0
06;205;Friedberg;105088;90829;4918;85911;40073;26779;0;12272;4444;1663;680;0;0
06;206;Gießen;71208;62046;3589;58457;27246;14137;0;10831;4843;1006;394;0;0
06;207;Groß-Gerau;111303;98755;5153;93602;49415;28123;0;8501;4237;2901;425;0;0
06;208;Lauterbach;31653;26000;1221;24779;9453;7359;0;5314;2119;211;323;0;0
06;209;Offenbach;127093;112366;5154;107212;47035;42212;0;10744;3455;3173;593;0;0
06;210;Fulda, Stadt;32040;27392;1274;26118;6927;14902;0;2614;1286;280;109;0;0
06;211;Kassel, Stadt;152956;128132;7178;120954;58095;36712;0;20104;1987;3686;370;0;0
06;212;Marburg a.d. Lahn, Stadt;27120;21299;908;20391;7062;7670;0;4111;635;695;218;0;0
06;213;Eschwege;47323;40771;1977;38794;18921;10042;0;6841;2193;682;115;0;0
06;214;Frankenberg;32678;27156;1608;25548;8487;6690;0;8337;1726;201;107;0;0
06;215;Fritzlar-Homberg;53767;46815;2243;44572;22489;12798;0;7105;1496;531;153;0;0
06;216;Fulda;65001;58709;2238;56471;10834;38872;0;3592;2528;496;149;0;0
06;217;Hersfeld;51074;43383;2218;41165;21817;10760;0;6253;1545;650;140;0;0
06;218;Hofgeismar;40968;35740;1918;33822;16047;7728;0;6362;3079;497;109;0;0
06;219;Hünfeld;23684;20642;956;19686;4001;12732;0;1849;982;86;36;0;0
06;220;Kassel;53441;48421;2291;46130;29503;9502;0;4816;972;1239;98;0;0
06;221;Marburg;66559;55947;3067;52880;21841;20593;0;7028;1979;772;667;0;0
06;222;Melsungen;32547;28429;1447;26982;13952;5772;0;5148;1635;416;59;0;0
06;223;Rotenburg;39565;34029;1702;32327;15488;10863;0;4175;1257;464;80;0;0
06;224;Waldeck;61163;50060;2196;47864;17727;13105;0;13244;2897;670;221;0;0
06;225;Witzenhausen;36348;31945;1746;30199;15494;7812;0;4425;1837;559;72;0;0
06;226;Wolfhagen;25457;22016;1246;20770;9635;5454;0;4029;1161;452;39;0;0
06;227;Ziegenhain;37063;31701;1892;29809;12769;6942;0;7205;2488;208;197;0;0
06;228;Frankfurt am Main, Stadt;504895;392428;17539;374889;168201;125232;0;60226;6567;11309;3354;0;0
06;229;Hanau, Stadt;34332;28408;1353;27055;12129;9122;0;3412;807;1374;211;0;0
06;230;Wiesbaden, Landeshauptstadt;187756;149226;9062;140164;55788;50473;0;24999;4113;3575;1216;0;0
