© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;
;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1965 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;
;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;Sonstige
05;151;Lüdinghausen;87169;74577;1311;73266;23889;45301;0;2911;1165
05;152;Münster;66693;56306;876;55430;14561;35873;0;3439;1557
05;153;Recklinghausen;221157;183836;2993;180843;85689;82934;0;8266;3954
05;154;Steinfurt;110830;94794;1775;93019;27302;59150;0;4661;1906
05;155;Tecklenburg;84210;70765;1504;69261;24404;36653;0;6655;1549
05;156;Warendorf;40455;34988;687;34301;7417;24462;0;1962;460
05;157;Bielefeld, Stadt;127360;103422;1730;101692;50240;37346;0;9749;4357
05;158;Herford, Stadt;40877;33387;837;32550;15292;13617;0;2646;995
05;159;Bielefeld;98155;83502;1734;81768;41760;30511;0;6784;2713
05;160;Büren;38060;32807;887;31920;6660;23111;0;1616;533
05;161;Detmold;101889;83498;1675;81823;37649;28346;0;12410;3418
05;162;Halle (Westf.);43464;36392;954;35438;15436;14126;0;4546;1330
05;163;Herford;121751;103226;2937;100289;52765;36277;0;7979;3268
05;164;Höxter;65668;54320;1145;53175;13449;34845;0;3774;1107
05;165;Lemgo;101707;84866;1635;83231;41046;28027;0;10982;3176
05;166;Lübbecke;61154;49432;1097;48335;19866;21136;0;5696;1637
05;167;Minden;140039;113262;2284;110978;52747;41449;0;13022;3760
05;168;Paderborn;89116;72579;1487;71092;17126;47508;0;4804;1654
05;169;Warburg;29876;25012;618;24394;4775;17352;0;1854;413
05;170;Wiedenbrück;106277;89917;1416;88501;26347;53062;0;7015;2077
