© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
06;196;Wiesbaden, Landeshauptstadt;181557;153070;2827;150243;71612;56034;0;12376;7842;1086;1293
06;197;Alsfeld;37792;32184;584;31600;14362;11663;0;2063;3081;94;337
06;198;Bergstraße;143327;128490;2415;126075;55514;57210;0;5827;5765;840;919
06;199;Biedenkopf;41084;34960;546;34414;16628;13889;0;1817;1611;114;355
06;200;Büdingen;58984;51968;1092;50876;25449;17827;0;3024;4065;163;348
06;201;Darmstadt;75834;69118;1379;67739;36059;23262;0;3931;3458;590;439
06;202;Dieburg;79901;73383;1391;71992;34379;29851;0;3368;3035;889;470
06;203;Dillkreis;65470;54961;1011;53950;22915;24415;0;2739;3370;162;349
06;204;Erbach;48094;42955;1136;41819;21644;14996;0;2223;2448;361;147
06;205;Friedberg;118527;107424;1586;105838;51680;39802;0;6144;6843;582;787
06;206;Gelnhausen;59795;54056;1675;52381;22180;23947;0;2733;2755;353;413
06;207;Gießen;75956;68414;1322;67092;33116;22982;0;4892;4584;312;1206
06;208;Groß-Gerau;129603;118142;1870;116272;65409;38096;0;5646;4923;1131;1067
06;209;Hanau;86310;77752;1246;76506;40868;25327;0;4874;3458;1409;570
06;210;Lauterbach;30705;26264;612;25652;11259;9149;0;2389;1875;87;893
06;211;Limburg;60954;55556;1089;54467;20316;29911;0;1841;1889;138;372
06;212;Main-Taunus-Kreis;117002;104956;1242;103714;45774;44513;0;7505;4619;384;919
06;213;Oberlahnkreis;39738;35638;720;34918;17063;13459;0;1842;1722;88;744
06;214;Obertaunuskreis;85701;75906;620;75286;32761;31833;0;6577;3211;405;499
06;215;Offenbach;160899;146955;1567;145388;69661;58549;0;9671;5233;1305;969
06;216;Rheingaukreis;40872;36580;605;35975;13386;19116;0;1719;1288;103;363
06;217;Schlüchtern;29302;25661;739;24922;10660;10746;0;1810;1531;118;57
06;218;Untertaunuskreis;45910;39804;688;39116;17713;14876;0;3128;2736;174;489
06;219;Usingen;21402;18784;359;18425;8746;7147;0;1227;1047;123;135
06;220;Wetzlar;104066;92211;1715;90496;47094;29621;0;7135;4366;555;1725
06;221;Fulda, Stadt;31632;28695;598;28097;9334;16561;0;1079;799;68;256
06;222;Kassel, Stadt;156469;136784;2565;134219;72833;43536;0;10180;5781;1429;460
06;223;Marburg a.d. Lahn, Stadt;27549;24023;302;23721;10360;9110;0;2594;1236;285;136
06;224;Eschwege;46121;41054;879;40175;21792;12994;0;2619;2102;293;375
06;225;Frankenberg;33610;28277;686;27591;10994;10820;0;3730;1407;115;525
06;226;Fritzlar;55359;50398;797;49601;26686;16970;0;2507;3039;237;162
06;227;Fulda;69316;64300;1720;62580;16640;41646;0;1852;1789;162;491
06;228;Hersfeld;51580;45648;1134;44514;24526;14756;0;2586;2272;245;129
06;229;Hofgeismar;40968;37044;677;36367;19266;11776;0;2373;1969;208;775
06;230;Hünfeld;23228;21039;571;20468;5095;13653;0;750;851;36;83
06;231;Kassel;65653;61702;584;61118;39531;15960;0;3092;1797;539;199
06;232;Marburg;72141;63967;993;62974;27816;26344;0;3779;4529;211;295
06;233;Melsungen;33496;31020;761;30259;16906;9265;0;2172;1376;167;373
06;234;Rotenburg;39705;35428;815;34613;17809;13329;0;1292;1922;137;124
06;235;Waldeck;63842;53896;882;53014;23073;19775;0;5427;4303;160;276
