© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1957 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;F.D.P.;DP;FU;GB/BHE;Sonstige
05;136;Erkelenz;51493;44291;1568;42723;30197;8312;0;2336;574;216;941;147
05;137;Jülich;43196;37866;1104;36762;25325;8737;0;1548;328;305;349;170
05;138;Monschau;17461;15683;513;15170;12089;1505;0;804;109;374;231;58
05;139;Schleiden;39866;35184;1054;34130;28214;3107;0;1681;291;142;534;161
05;140;Selfkantkreis Geilenkirchen-Heinsberg;73085;63770;2172;61598;45662;11210;0;2009;1374;179;953;211
05;141;Bocholt, Sadt;27462;23579;735;22844;14466;6101;0;974;113;798;310;82
05;142;Bottrop, Stadt;72102;61615;1816;59799;30683;26149;0;1569;305;314;469;310
05;143;Gelsenkirchen, Stadt;265543;217514;8661;208853;93897;97821;0;8810;1262;1499;3515;2049
05;144;Gladbeck, Stadt;54336;46791;1662;45129;21285;21218;0;1501;251;160;532;182
05;145;Münster (Westf.), Stadt;108396;88038;2605;85433;52683;18915;0;7051;2031;1750;2139;864
05;146;Recklinghausen, Stadt;85239;71597;2331;69266;35083;27485;0;3780;509;284;1813;312
05;147;Ahaus;61494;54692;1297;53395;39981;7833;0;1035;621;1410;2289;226
05;148;Beckum;95803;82795;2132;80663;50773;21856;0;2342;923;943;3440;386
05;149;Borken;47848;42889;1095;41794;32608;4738;0;1308;309;1528;1126;177
05;150;Coesfeld;49428;43774;872;42902;31053;5966;0;881;430;2664;1731;177
05;151;Lüdinghausen;79618;69463;1889;67574;44733;17487;0;1748;818;855;1477;456
05;152;Münster;57932;50244;1277;48967;32572;8650;0;1794;879;3015;1722;335
05;153;Recklinghausen;194492;165762;4170;161592;88960;60753;0;5007;1032;1621;3275;944
05;154;Steinfurt;101139;89080;2389;86691;56451;18453;0;2188;2605;3616;2823;555
05;155;Tecklenburg;76555;65628;2639;62989;33147;17241;0;4489;2157;2251;3205;499
05;156;Warendorf;36633;32788;863;31925;22995;4414;0;1015;405;1490;1493;113
05;157;Bielefeld, Stadt;127416;108269;3529;104740;42882;45371;0;9342;1878;169;3143;1955
05;158;Herford, Stadt;39592;33385;1255;32130;13992;13748;0;2363;659;14;953;401
05;159;Bielefeld;80403;70409;2024;68385;26376;32119;0;4628;1615;55;2797;795
05;160;Büren;36801;32247;843;31404;21630;4070;0;581;1115;1848;2027;133
05;161;Detmold;95640;81055;2676;78379;24376;33066;0;12091;3036;102;4292;1416
05;162;Halle (Westf.);39501;33718;1115;32603;14232;11648;0;3183;1158;35;1737;610
05;163;Herford;113400;98158;3130;95028;33993;47232;0;6410;2934;24;2982;1453
05;164;Höxter;57233;49681;1034;48647;33371;8411;0;1572;1467;1326;2151;349
05;165;Lemgo;90897;78459;2851;75608;23189;35374;0;9302;3147;33;3187;1376
05;166;Lübbecke;55940;47134;1677;45457;20017;16711;0;3789;1605;12;1841;1482
05;167;Minden;129785;109428;4249;105179;40081;46268;0;10768;1871;27;4139;2025
05;168;Paderborn;76666;65118;1595;63523;45177;10325;0;1996;1570;1993;2043;419
